Epochs,Loss,F1
259,0.0001711686571680376,1.0
260,0.00016920275498043553,1.0
261,0.00016726809257772818,1.0
262,0.00016536403916365023,1.0
263,0.00016348997935184057,1.0
264,0.00016164531272478831,1.0
265,0.00015982945340724627,1.0
266,0.0001580418296535753,1.0
267,0.00015628188344849722,1.0
268,0.00015454907012077396,1.0
269,0.0001528428579693248,1.0
270,0.00015116272790134875,1.0
271,0.00014950817308199735,1.0
272,0.00014787869859519395,1.0
273,0.00014627382111519847,1.0
274,0.0001446930685885274,1.0
275,0.00014313597992587562,1.0
276,0.00014160210470366537,1.0
277,0.00014009100287490532,1.0
278,0.0001386022444890188,1.0
279,0.00013713540942033445,1.0
280,0.000135690087104935,1.0
281,0.00013426587628558031,1.0
282,0.00013286238476442096,1.0
283,0.00013147922916323517,1.0
284,0.00013011603469093925,1.0
285,0.0001287724349181097,1.0
286,0.0001274480715582949,1.0
287,0.0001261425942558754,1.0
288,0.00012485566038025734,1.0
289,0.00012358693482618247,1.0
290,0.0001223360898199598,1.0
291,0.00012110280473140698,1.0
292,0.00011988676589132354,1.0
293,0.00011868766641430937,1.0
294,0.0001175052060267519,1.0
295,0.00011633909089981176,1.0
296,0.00011518903348724328,1.0
297,0.00011405475236789662,1.0
298,0.00011293597209274181,1.0
299,0.00011183242303627468,1.0
