Epochs,Loss,F1
178,9.020256027778992e-07,1.0
179,8.939181932938182e-07,1.0
180,8.859239341038119e-07,1.0
181,8.780405536304663e-07,1.0
182,8.702658404191037e-07,1.0
183,8.625976411491067e-07,1.0
184,8.550338587300806e-07,1.0
185,8.475724504769139e-07,1.0
186,8.402114263586311e-07,1.0
187,8.329488473160797e-07,1.0
188,8.257828236445343e-07,1.0
189,8.18711513437036e-07,1.0
190,8.117331210854501e-07,1.0
191,8.048458958360076e-07,1.0
192,7.980481303968704e-07,1.0
193,7.913381595952086e-07,1.0
194,7.84714359081813e-07,1.0
195,7.781751440812149e-07,1.0
196,7.717189681857005e-07,1.0
197,7.653443221915876e-07,1.0
198,7.590497329762797e-07,1.0
199,7.528337624147546e-07,1.0
200,7.466950063341056e-07,1.0
201,7.406320935049965e-07,1.0
202,7.346436846684139e-07,1.0
203,7.28728471597218e-07,1.0
204,7.228851761904157e-07,1.0
205,7.171125495997464e-07,1.0
206,7.114093713870194e-07,1.0
207,7.057744487109947e-07,1.0
208,7.002066155430517e-07,1.0
209,6.947047319101873e-07,1.0
210,6.892676831643584e-07,1.0
211,6.838943792771369e-07,1.0
212,6.78583754158733e-07,1.0
213,6.733347650000542e-07,1.0
214,6.681463916372332e-07,1.0
215,6.630176359374374e-07,1.0
216,6.579475212050232e-07,1.0
217,6.529350916074686e-07,1.0
218,6.479794116198863e-07,1.0
219,6.430795654876471e-07,1.0
220,6.382346567061168e-07,1.0
221,6.334438075170622e-07,1.0
222,6.287061584209098e-07,1.0
223,6.240208677041394e-07,1.0
224,6.193871109815007e-07,1.0
225,6.148040807522064e-07,1.0
226,6.102709859698142e-07,1.0
227,6.057870516250286e-07,1.0
228,6.013515183412463e-07,1.0
229,5.969636419821937e-07,1.0
230,5.926226932713309e-07,1.0
231,5.883279574224721e-07,1.0
232,5.840787337815166e-07,1.0
233,5.798743354785977e-07,1.0
234,5.757140890905611e-07,1.0
235,5.715973343132258e-07,1.0
236,5.675234236433389e-07,1.0
237,5.63491722069605e-07,1.0
238,5.595016067728043e-07,1.0
239,5.555524668344999e-07,1.0
240,5.516437029540703e-07,1.0
241,5.477747271739988e-07,1.0
242,5.439449626128222e-07,1.0
243,5.401538432057184e-07,1.0
244,5.364008134525313e-07,1.0
245,5.326853281727851e-07,1.0
246,5.290068522675276e-07,1.0
247,5.253648604880009e-07,1.0
248,5.217588372105143e-07,1.0
249,5.181882762177081e-07,1.0
250,5.146526804857473e-07,1.0
251,5.111515619774087e-07,1.0
252,5.076844414406742e-07,1.0
253,5.042508482129089e-07,1.0
254,5.008503200302926e-07,1.0
255,4.97482402842247e-07,1.0
256,4.941466506309671e-07,1.0
